RECORD_ID,RECORD_DATETIME,RECORD_URL,RECORD_TITLE,RECORD_TEXT,DOMAIN_ROOT_URL,CITY_NAME,STATE_CODE,COUNTRY_CODE,GPS_COORDINATES,AUTHOR_ID,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_GENDER,AUTHOR_DESCRIPTION,_AUTHOR_PROFILE_URL,AUTHOR_AVATAR_URL,AUTHOR_FOLLOWERS,AUTHOR_VERIFIED_STATUS,META_TAGS,META_TAGS2,NET_PROMOTER_SCORE,OVERALL_STAR_RATING,OVERALL_SURVEY_SCORE,SOURCE_TYPE
"page1","","https://www.amazon.com/Echo-Dot/dp/B07FZ8S74R/","Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal","","","","","","","","","","","","","","","","B07FZ8S74R","AmazonReview","","","",""

"page1-review1","October 15, 2018","https://www.amazon.com/gp/customer-reviews/R3MKDD2SPE6GUP/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07FZ8S74R","Love the Dot and its new look, but the sound is still disappointing","I've been a happy owner of a 2nd generation Echo and three 2nd generation Echo Dots for a year now, and I was glad to add this to the arsenal.  After using it for a few days I am generally pleased with it, but it does have limitations, especially when it comes to sound quality (no surprise there!).  I will start by summarizing what's new about the 3rd Generation Dot, then I'll describe the device in more detail, and finally I'll add some thoughts about how to choose which Echo device may be best for you.<br /><br />The most obvious update to the Dot is the new look: it's as if someone took a 2nd generation Dot, inflated it with an air pump, and wrapped the edge in fabric.  And it's not bad!<br /><br />What's different/updated in the 3rd Generation Dot:<br />1) It is slightly larger than the 2nd generation device, measuring 3.9&#34; wide x 1.7&#34; tall (2nd gen was 3.3&#34; wide x 1.3&#34; tall), and the top and bottom edges are more rounded.  It is also substantially heavier at nearly","","","","","","","","Frederick","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page1-review2","October 15, 2018","https://www.amazon.com/gp/customer-reviews/R320HT3E83VQNV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07FZ8S74R","Overall improvement, but lost its flexibility","I have 5 Echo Dots (gen 2) and we use them throughout the house for just about everything, being we have a fairly smart home. What I liked about the gen 2 versions, were that they were compact and very flexible on how you could use them. They were easy to mount in different positions and being that they used a fairly standard USB interface for the power, you could really be flexible on how and where you mounted them. The one thing that they really missed on? The well known sound quality.<br /><br />Enter the Gen 3...<br />I really like the improvement in sound. Sure it is not a high quality speaker system, but for the size it is pretty good. Especially when you consider that you can pair them and add a sub for pretty good sound. The look is improved over the gen 2, however it does lose a little bit of the customability that the gen 2 had. With the gen 2, you could purchase different wraps, stands, clock mounts, wall mounts, etc. You could really customize it. The gen 3 is a bit bigger ","","","","","","","","Clintre","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page2","","https://www.amazon.com/dp/B07GT9L6SQ?ref=MarsFS_PREOWNED_cr_rscb","Certified Refurbished Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, White, Works with Alexa","","","","","","","","","","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page2-review0","August 9, 2019","https://www.amazon.com/gp/customer-reviews/R2O5GG68784EG8/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07GT9L6SQ","Best outdoor camera","These cameras are the best I would definitely recommend to everyone. If u think u don’t need it think twice. I ordered one then once I had it up and u won’t believe the things u miss or happen when u are not home. So after two weeks of buying the first one I ended up buying a second one. The battery powered is the way to go bc u can mount anywhere u can think of, it has nice features u can literally adjust any setting u want. Battery last awhile it come with one, but the camera can fit two to have longer life, the batteries are rechargeable or u can just do the solar panel which works great. It has night vision, two way speaker, sends u alerts to your phone when motion is detected. Never knew I needed them until I got them best investment yet.","","","","","","","","brent mills","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page2-review1","August 16, 2019","https://www.amazon.com/gp/customer-reviews/R1MDSB0XREBLI0/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07GT9L6SQ","Attention to detail is important.","Refurbed camera arrived without some parts to mount the camera making it thus unusable.","","","","","","","","Big Poppa","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page2-review2","August 23, 2019","https://www.amazon.com/gp/customer-reviews/R1UWZVBK026JJD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07GT9L6SQ","Missing parts","Very frustrating to get everything set up and find out during the installation process that there was missing parts. The mounting bracket ring and the security screw is missing. So I'm sending it back to get in exchange for another one hopefully this will have all the parts.  The video quality was very good despite the issues with missing parts. My advice is to check very carefully and make sure everything's in the box before going through all the installation setup procedure.<br />Update: I have received the second ring spotlight cam and all parts were included in the box this time. Camera works great with the Alexa and the video quality is superb. So I'm raising my rating to four stars","","","","","","","","J Williams","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page2-review3","August 29, 2019","https://www.amazon.com/gp/customer-reviews/R3LSLT8YZ8SVH5/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07GT9L6SQ","RIng Product DO NOT Work as Advertised","These Ring products are HIGHLY over-rated!  The audio and video signals are not clear.  The audio cuts in and out to the point where conversing with the person at your door is simply not possible.  The video gets pixelated and is difficult to view.  The camera itself is sub-standard.  Anything within 10 feet is clear but beyond that it's just a blur.  You would think with today's camera lens technology Ring could provide a more distant clear field of view. But it does not.  Anyone or anything that causes the alarm to kick in - and is more than 10 feet away from the Doorbell may as well be wearing a disguise because you will surely not be able to discern who or what it is that set off the alarm.  Then there's the latency between the time the Camera triggers an alarm and the time when you actually get to view the video.  So long that any perpetrator would have stolen your packages and be in the next town!  And then there's the unexplainable drops in connection.  Complete loss of video an","","","","","","","","Coffeethecat","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page3","","https://www.amazon.com/dp/B07Z4GHB12?ref=MarsFS_TAB_FHD7essentials","Fire 7 Essentials Bundle including Fire 7 Tablet (Black, 16GB), Amazon Standing Case (Charcoal Black), and Nupro Anti-Glare Screen Protector","","","","","","","","","","","","","","","","B07Z4GHB12","AmazonReview","","","",""
