RECORD_ID,RECORD_DATETIME,RECORD_URL,RECORD_TITLE,RECORD_TEXT,DOMAIN_ROOT_URL,CITY_NAME,STATE_CODE,COUNTRY_CODE,GPS_COORDINATES,AUTHOR_ID,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_GENDER,AUTHOR_DESCRIPTION,_AUTHOR_PROFILE_URL,AUTHOR_AVATAR_URL,AUTHOR_FOLLOWERS,AUTHOR_VERIFIED_STATUS,META_TAGS,META_TAGS2,NET_PROMOTER_SCORE,OVERALL_STAR_RATING,OVERALL_SURVEY_SCORE,SOURCE_TYPE
"page 0","2020/07/19 21:12:11","https://www.amazon.com/Echo-Dot/dp/B07FZ8S74R/","Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal","","","","","","","","","","","","","","","","B07FZ8S74R","AmazonReview","","","",""

"page0-review1","2020/07/19 21:12:14","https://nlp.netbase.com/sentiment?languageTag=en&mode=index&syntax=twitter&text=I%27ve+been+a+happy+owner+of+a+2nd+generation+Echo+and+three+2nd+generation+Echo+Dots+for+a+year+now%2C+and+I+was+glad+to+add+this+to+the+arsenal.++After+using+it+for+a+few+days+I+am+generally+pleased+with+it%2C+but+it+does+have+limitations%2C+especially+when+it+comes+to+sound+quality+%28no+surprise+there%21%29.++I+will+start+by+summarizing+what%27s+new+about+the+3rd+Generation+Dot%2C+then+I%27ll+describe+the+device+in+more+detail%2C+and+finally+I%27ll+add+some+thoughts+about+how+to+choose+which+Echo+device+may+be+best+for+you.%3Cbr+%2F%3E%3Cbr+%2F%3EThe+most+obvious+update+to+the+Dot+is+the+new+look%3A+it%27s+as+if+someone+took+a+2nd+generation+Dot%2C+inflated+it+with+an+air+pump%2C+and+wrapped+the+edge+in+fabric.++And+it%27s+not+bad%21%3Cbr+%2F%3E%3Cbr+%2F%3EWhat%27s+different%2Fupdated+in+the+3rd+Generation+Dot%3A%3Cbr+%2F%3E1%29+It+is+slightly+larger+than+the+2nd+generation+device%2C+measuring+3.9%26%2334%3B+wide+x+1.7%26%2334%3B+tall+%282nd+gen+was+3.3%26%2334%3B+wide+x+1.3%26%2334%3B+tall%29%2C+and+the+top+and+bottom+edges+are+more+rounded.++It+is+also+substantially+heavier+at+nearly","Love the Dot and its new look, but the sound is still disappointing","I've been a happy owner of a 2nd generation Echo and three 2nd generation Echo Dots for a year now, and I was glad to add this to the arsenal.  After using it for a few days I am generally pleased with it, but it does have limitations, especially when it comes to sound quality (no surprise there!).  I will start by summarizing what's new about the 3rd Generation Dot, then I'll describe the device in more detail, and finally I'll add some thoughts about how to choose which Echo device may be best for you.<br /><br />The most obvious update to the Dot is the new look: it's as if someone took a 2nd generation Dot, inflated it with an air pump, and wrapped the edge in fabric.  And it's not bad!<br /><br />What's different/updated in the 3rd Generation Dot:<br />1) It is slightly larger than the 2nd generation device, measuring 3.9&#34; wide x 1.7&#34; tall (2nd gen was 3.3&#34; wide x 1.3&#34; tall), and the top and bottom edges are more rounded.  It is also substantially heavier at nearly twice the weight of the 2nd generation model.<br />2) The 2nd generation Dot came in two color options (black and white), each of which had a shiny plastic exterior that I personally thought looked a little cheap.  The 3rd generation Dot has a fabric exterior which gives it a classier appearance, and it's available in three colors: heather grey, sandstone, and charcoal.  The fabric and rounded edges give the 3rd generation Dot a much softer look than its predecessor.<br />4) The 3rd generation Dot has a larger speaker (1.6&#34;, versus 1.1&#34; on the 2nd gen), which is paired with a larger driver as well.  I'll talk below about the effect this has on audio quality.<br />5) The placement of the microphones is slightly different: while the 2nd generation had seven small far-field microphones on its top surface; the 3rd generation has four microphones.<br /><br />---------------------------<br />Overall appearance<br />---------------------------<br />I purchased the &#34;sandstone&#34; version. The cloth is a polyester woven fabric made up of lighter and darker shades which gives it more visual interest than if it were just a solid, uniform gray. The neutral color blends in with nearly any decor, and the cloth gives the unit a softer look which is great for areas of your house where you don't want something that screams &#34;I'm a device!&#34;<br /><br />Aside from its larger size and slight convex bulge, the top of the device is nearly identical to that of the 2nd generation Dot: it has four buttons (volume up, volume down, microphone off, and an &#34;action&#34; button) and a multi-colored light ring around the top edge that tells you about the Echo's status.  The side of the device has an input for the power cable and a 3.5-mm output jack.<br /><br />One notable improvement is the shape of the power cable, which sits flatter against the wall than the 2nd generation Dot's cable (see my photo to see them side by side).  This may sound like an insignificant change, but it makes a huge difference if you want to plug the cable into an outlet that is behind a piece of furniture.<br /><br />-------------<br />Setup<br />-------------<br />Setting up the Dot couldn't be easier.  You simply plug in the power cable, then use the Alexa app on your phone to connect the Dot to your WiFi network.  The app leads you through everything, and the whole process takes less than a minute.  Boom.<br /><br />----------------<br />Audio<br />----------------<br />I did a side-by-side audio comparison of the 2nd and 3rd Generation Echo Dots, first with music (orchestral, a jazz combo, and some AC/DC) and then with a few newscasts.  Everything does sound better on the 3rd generation Dot, but to be honest, the sound is still pretty anemic.  Compared with the 2nd generation Dot, the sound is slightly fuller, not as annoyingly tinny, and has a small amount of bass presence (not much, but the 2nd generation had none).  Newscasts and other spoken texts benefit from the fuller sound as well, but the difference is more pronounced with music.  Just for fun, I also compared the 3rd generation Dot with my 2nd generation Echo, and THAT'S where I noticed a big difference.  Yes, the new Dot sounds a bit better than its predecessor, but they both sound weak compared to the full-sized Echo.  (To its credit, Amazon doesn't claim that the Dot has room-filling sound.)<br /><br />I'll be blunt: I really like the Dot, but I don't use it to listen to music.  At all.  With so many other speaker options out there, there's just no reason to use this as your primary music device.<br /><br />-------------------------<br />Voice recognition<br />-------------------------<br />As I mentioned above, the number of microphones on the top surface has dropped from seven to four.  I'm not sure what the rationale for this was, but after testing the Dot's ability to pick up my voice from different distances and angles, I didn't notice a substantial difference in the overall microphone sensitivity compared to the 2nd generation Dot.  Like the other Echo devices, though, it seems to have more difficulty detecting voices that come from below it (which happens if I talk to it while I'm on the floor playing with my daughter).<br /><br />-------------------<br />Functionality<br />-------------------<br />The bottom line is that the overall functionality -- what the 3rd generation Dot &#34;does&#34; -- is nearly identical to that of the previous generations (and of other Echo devices, or at least the ones without screens).  This is largely because the Alexa assistant software on which all Echos operate is run on Amazon's cloud, not your individual device.  This means that as Amazon adds new features and updates to Alexa they automatically become available on all Echo devices.  So, you can use any of them to:<br /><br />- Stream music via WiFi from multiple sources<br />- Control smart home devices with your voice<br />- Make hands-free calls to other Echo devices or phone numbers in North America<br />- Make purchases from your Amazon Prime account<br />- Listen to news feeds, podcasts, etc.<br />- Do anything else in Alexa's ever-growing skill set, such as make shopping lists, set timers/alarms/reminders, play games, tell you your daily schedule, and any other skills Amazon dreams up for Alexa in the future.<br /><br />If you don't want to use the Dot's built-in speaker, you can connect it to your own speakers via Bluetooth or by using the 3.5-mm output jack.<br /><br />One new feature for the 3rd generation Dot is a little puzzling to me: You can pair two Echo Dots in a &#34;stereo mode,&#34; giving you essentially left and right speakers.  I tried this briefly and the results were pretty much what I expected: yes, it's stereo, but it's still weak sound!  You can also pair an Echo Sub with the Dots, creating a little 2.1 sound system.  Frankly, I'm not sure why you would do this; if I were setting up for stereo sound, I would want speakers that are designed for decent audio performance, not two Echo Dots.<br /><br />Alexa's skill set is enormous and always growing.  In fact, part of the fun of owning an Echo device is seeing what new skills Amazon comes up with (even if many new skills are just silly or entertaining).  I'll mention two of my favorite skills here: the Flash Briefing and the drop-in feature. The flash briefing is fully customizable daily digest of news and other information which you can hear any time by asking &#34;What's my flash briefing?&#34; There is a huge list of content you can add to your briefing including news updates, weather forecasts, sports and traffic updates, and educational snippets along with many that are just humorous or entertaining. Using the Alexa phone app or your Echo account page you can select exactly what content you want in your briefing and in what order you want to hear it. For example, I configured mine with news feeds from NPR, BBC, and Reuters. I love having an on-demand synopsis of the latest news from my favorite sources.<br /><br />My other favorite feature, &#34;drop in,&#34; essentially opens a two-way communication channel between any two Echo devices, sort of like an intercom. Simply ask Alexa to &#34;drop in on [the living room, the kitchen...]&#34; and you are instantly connected. My wife and I use this feature to communicate from opposite ends of the house. You can turn drop-in capability on or off for each of your Echo devices individually, and you can also choose whether each device can drop in with ANY Echo device or only those in your own home.<br /><br />[Note that the drop-in feature is NOT the same thing as Alexa's hands-free calling feature. Hands-free calling allows you to call most phone numbers and Echo devices in the U.S., Mexico, and Canada from your Echo by saying your contact's name or number. Just like with a phone call, the other person must choose to answer your call before you can communicate. By contrast, with the drop-in feature communication is instantly established. For this reason you will probably want to use drop-in only with your closest family and friends, and probably only for certain rooms in your home!]<br /><br />-----------------------------------<br />A few (minor) complaints<br />-----------------------------------<br />Unfortunately this 3rd Generation Dot shares an annoying trait of its predecessors: widely varying volume levels within the daily Flash Briefing. As you listen to the briefing, some components (such as BBC News) come through quietly while others (like Reuters) are much louder.  Not a deal-breaker, but slightly annoying.<br /><br />Also, occasionally when Alexa misunderstands a command, you have to &#34;start over,&#34; which can be really irritating.  For example, if Alexa thinks you asked to turn on a light but you really asked something else, she will repeatedly say &#34;In which room?&#34; until you say &#34;Alexa, stop&#34; and then start over.  I'm guessing this type of thing will improve over time as voice recognition software  becomes more advanced.  This is really more of an Alexa issue than a Dot issue, but it drives me nuts at times.<br /><br />Finally, I wish the Alexa phone app was easier to use.  It works, but its organization is not intuitive and it feels rather clunky to navigate.  Again, this is more of an &#34;Alexa&#34; issue than a &#34;Dot&#34; issue, but still... Hopefully Amazon will continue to make improvements to it!<br /><br />--------------<br />A few tips<br />--------------<br />1) The Dot seems to pick up voices best when placed at or below eye level (i.e., roughly the level from which your voice emits). Mine has trouble detecting voices coming from below it, so I don't recommend placing this on a high shelf.<br /><br />2) When you select news feeds for your Flash briefing I recommend picking one U.S. source and one international source (I use NPR and BBC - both are excellent). If you add too many feeds you'll get a lot of overlap and hear the same story several times.<br /><br />3) If you have multiple Echo devices in your home, sometimes speaking to one will cause others to respond as well, especially if they are in close proximity (like in adjacent rooms). One way to prevent this is to change the wake word of one of the devices to &#34;Echo&#34; or &#34;Amazon.&#34; The only downside is that you then have to remember which wake word you assigned to each device!<br /><br />------------------------------------------------------------------------<br />Echo Dot vs. Echo vs. Echo Plus: Which one to buy?<br />------------------------------------------------------------------------<br />(Please note that I am only comparing Echo devices that do NOT have screens.)<br /><br />When choosing between the Echo Dot and one of the larger Echo devices, perhaps the most important question to ask is &#34;How much do you plan to LISTEN to the device?&#34;  This question is important because one of the biggest differences between the Echo Dot and the larger Echo devices is sound quality: the 1.6&#34; speaker of the Dot simply cannot match the fullness and heft of the Echo or Echo Plus.  (Remember, they all run on the same Alexa software, which means they all have nearly identical skill sets!)<br /><br />So, if you don't currently own an Echo device, start by thinking carefully about how you plan to use it.  Many Alexa skills fall into one of two broad categories: those that rely heavily on the speaker and those that don't.  For example, features that benefit from good sound quality include playing music/newscasts/podcasts, the drop-in feature, and hands-free calling.  (This is why I chose an Echo Plus for my kitchen - I use it every morning to listen to the news.)  If you plan to use your device largely for these type of features, you would probably appreciate the better sound of the Echo or Echo Plus.<br /><br />On the other hand, if plan to use the Echo mainly for &#34;non-listening&#34; purposes such as voice-controlling your smart home devices, then the sound quality isn't as important and a Dot is probably all you need.  In fact, you could even save some money by purchasing a 2nd generation Dot instead -- especially if it's not going to be in a highly visible location or you don't mind its shiny plastic look.  I have several &#34;single-purpose&#34; Dots in my house in rooms where I want to voice-control one thing, such as a lamp in the room, and 2nd generations Dots are just fine for this -- and now that their price has gone down they are a great value!<br /><br />==========<br />Bottom line<br />==========<br />The Echo Dot is an extraordinarily useful and versatile device -- one that becomes more useful all the time as Alexa's skill set expands.  The 3rd Generation model has a great new look, but despite marginal improvements in the speaker, it's still pretty unsatisfying as a playback device for music or  newscasts.  As long as you are willing to accept its acoustic limitations, the Dot can be a wonderful device to have in your home.  And if you DO want better sound quality for the features you use most often, you can always connect the Dot to your own sound system via Bluetooth or the 3.5-mm audio jack.  Hope this was helpful!","","","","","","","","Frederick","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page 0","2020/07/19 21:12:15","https://www.amazon.com/dp/B07GT9L6SQ?ref=MarsFS_PREOWNED_cr_rscb","Certified Refurbished Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, White, Works with Alexa","","","","","","","","","","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page0-review2","2020/07/19 21:12:15","https://nlp.netbase.com/sentiment?languageTag=en&mode=index&syntax=twitter&text=I+have+5+Echo+Dots+%28gen+2%29+and+we+use+them+throughout+the+house+for+just+about+everything%2C+being+we+have+a+fairly+smart+home.+What+I+liked+about+the+gen+2+versions%2C+were+that+they+were+compact+and+very+flexible+on+how+you+could+use+them.+They+were+easy+to+mount+in+different+positions+and+being+that+they+used+a+fairly+standard+USB+interface+for+the+power%2C+you+could+really+be+flexible+on+how+and+where+you+mounted+them.+The+one+thing+that+they+really+missed+on%3F+The+well+known+sound+quality.%3Cbr+%2F%3E%3Cbr+%2F%3EEnter+the+Gen+3...%3Cbr+%2F%3EI+really+like+the+improvement+in+sound.+Sure+it+is+not+a+high+quality+speaker+system%2C+but+for+the+size+it+is+pretty+good.+Especially+when+you+consider+that+you+can+pair+them+and+add+a+sub+for+pretty+good+sound.+The+look+is+improved+over+the+gen+2%2C+however+it+does+lose+a+little+bit+of+the+customability+that+the+gen+2+had.+With+the+gen+2%2C+you+could+purchase+different+wraps%2C+stands%2C+clock+mounts%2C+wall+mounts%2C+etc.+You+could+really+customize+it.+The+gen+3+is+a+bit+bigger+","Overall improvement, but lost its flexibility","I have 5 Echo Dots (gen 2) and we use them throughout the house for just about everything, being we have a fairly smart home. What I liked about the gen 2 versions, were that they were compact and very flexible on how you could use them. They were easy to mount in different positions and being that they used a fairly standard USB interface for the power, you could really be flexible on how and where you mounted them. The one thing that they really missed on? The well known sound quality.<br /><br />Enter the Gen 3...<br />I really like the improvement in sound. Sure it is not a high quality speaker system, but for the size it is pretty good. Especially when you consider that you can pair them and add a sub for pretty good sound. The look is improved over the gen 2, however it does lose a little bit of the customability that the gen 2 had. With the gen 2, you could purchase different wraps, stands, clock mounts, wall mounts, etc. You could really customize it. The gen 3 is a bit bigger and has a much more rounded shape. While it makes it look better by itself, it lacks the ability to really customize it. It surely would not work as a power socket mount, like you could do with the gen 2, just due to the additional weight.<br /><br />That is before you get to the horrendous power cord and adapter. The power adapter is twice as big as the gen 2 and the power cord went away from the, easy to find, usb style cord to a old style input style and it is permanently attached to the power adapter. This is really my biggest complaint as it took away so much flexibility, that you could enjoy with the gen 2. Don't get me wrong, I am sure there will be several new cords and adapters put out to fill the gap, but that is not as easy as using cords many already have. Just makes no sense. Not to mention the cord is really long, so in areas where you want it to be a bit more discreet, this thing sticks out like a sore thumb.<br /><br />What I like...<br />Sound Quality is a step up<br />Sound Volume is much improved<br />Base look is much improved<br /><br />What I dislike...<br />Much less flexibility on how it is used versus previous version<br />Non-standard power cord<br />Bulky adapter<br />Ugly long cord","","","","","","","","Clintre","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page0-review0","2020/07/19 21:12:16","https://nlp.netbase.com/sentiment?languageTag=en&mode=index&syntax=twitter&text=These+cameras+are+the+best+I+would+definitely+recommend+to+everyone.+If+u+think+u+don%E2%80%99t+need+it+think+twice.+I+ordered+one+then+once+I+had+it+up+and+u+won%E2%80%99t+believe+the+things+u+miss+or+happen+when+u+are+not+home.+So+after+two+weeks+of+buying+the+first+one+I+ended+up+buying+a+second+one.+The+battery+powered+is+the+way+to+go+bc+u+can+mount+anywhere+u+can+think+of%2C+it+has+nice+features+u+can+literally+adjust+any+setting+u+want.+Battery+last+awhile+it+come+with+one%2C+but+the+camera+can+fit+two+to+have+longer+life%2C+the+batteries+are+rechargeable+or+u+can+just+do+the+solar+panel+which+works+great.+It+has+night+vision%2C+two+way+speaker%2C+sends+u+alerts+to+your+phone+when+motion+is+detected.+Never+knew+I+needed+them+until+I+got+them+best+investment+yet.","Best outdoor camera","These cameras are the best I would definitely recommend to everyone. If u think u don’t need it think twice. I ordered one then once I had it up and u won’t believe the things u miss or happen when u are not home. So after two weeks of buying the first one I ended up buying a second one. The battery powered is the way to go bc u can mount anywhere u can think of, it has nice features u can literally adjust any setting u want. Battery last awhile it come with one, but the camera can fit two to have longer life, the batteries are rechargeable or u can just do the solar panel which works great. It has night vision, two way speaker, sends u alerts to your phone when motion is detected. Never knew I needed them until I got them best investment yet.","","","","","","","","brent mills","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page1-review1","2020/07/19 21:12:18","https://nlp.netbase.com/sentiment?languageTag=en&mode=index&syntax=twitter&text=Refurbed+camera+arrived+without+some+parts+to+mount+the+camera+making+it+thus+unusable.","Attention to detail is important.","Refurbed camera arrived without some parts to mount the camera making it thus unusable.","","","","","","","","Big Poppa","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page1-review2","2020/07/19 21:12:19","https://nlp.netbase.com/sentiment?languageTag=en&mode=index&syntax=twitter&text=Very+frustrating+to+get+everything+set+up+and+find+out+during+the+installation+process+that+there+was+missing+parts.+The+mounting+bracket+ring+and+the+security+screw+is+missing.+So+I%27m+sending+it+back+to+get+in+exchange+for+another+one+hopefully+this+will+have+all+the+parts.++The+video+quality+was+very+good+despite+the+issues+with+missing+parts.+My+advice+is+to+check+very+carefully+and+make+sure+everything%27s+in+the+box+before+going+through+all+the+installation+setup+procedure.%3Cbr+%2F%3EUpdate%3A+I+have+received+the+second+ring+spotlight+cam+and+all+parts+were+included+in+the+box+this+time.+Camera+works+great+with+the+Alexa+and+the+video+quality+is+superb.+So+I%27m+raising+my+rating+to+four+stars","Missing parts","Very frustrating to get everything set up and find out during the installation process that there was missing parts. The mounting bracket ring and the security screw is missing. So I'm sending it back to get in exchange for another one hopefully this will have all the parts.  The video quality was very good despite the issues with missing parts. My advice is to check very carefully and make sure everything's in the box before going through all the installation setup procedure.<br />Update: I have received the second ring spotlight cam and all parts were included in the box this time. Camera works great with the Alexa and the video quality is superb. So I'm raising my rating to four stars","","","","","","","","J Williams","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page1-review3","2020/07/19 21:12:20","https://nlp.netbase.com/sentiment?languageTag=en&mode=index&syntax=twitter&text=These+Ring+products+are+HIGHLY+over-rated%21++The+audio+and+video+signals+are+not+clear.++The+audio+cuts+in+and+out+to+the+point+where+conversing+with+the+person+at+your+door+is+simply+not+possible.++The+video+gets+pixelated+and+is+difficult+to+view.++The+camera+itself+is+sub-standard.++Anything+within+10+feet+is+clear+but+beyond+that+it%27s+just+a+blur.++You+would+think+with+today%27s+camera+lens+technology+Ring+could+provide+a+more+distant+clear+field+of+view.+But+it+does+not.++Anyone+or+anything+that+causes+the+alarm+to+kick+in+-+and+is+more+than+10+feet+away+from+the+Doorbell+may+as+well+be+wearing+a+disguise+because+you+will+surely+not+be+able+to+discern+who+or+what+it+is+that+set+off+the+alarm.++Then+there%27s+the+latency+between+the+time+the+Camera+triggers+an+alarm+and+the+time+when+you+actually+get+to+view+the+video.++So+long+that+any+perpetrator+would+have+stolen+your+packages+and+be+in+the+next+town%21++And+then+there%27s+the+unexplainable+drops+in+connection.++Complete+loss+of+video+an","RIng Product DO NOT Work as Advertised","These Ring products are HIGHLY over-rated!  The audio and video signals are not clear.  The audio cuts in and out to the point where conversing with the person at your door is simply not possible.  The video gets pixelated and is difficult to view.  The camera itself is sub-standard.  Anything within 10 feet is clear but beyond that it's just a blur.  You would think with today's camera lens technology Ring could provide a more distant clear field of view. But it does not.  Anyone or anything that causes the alarm to kick in - and is more than 10 feet away from the Doorbell may as well be wearing a disguise because you will surely not be able to discern who or what it is that set off the alarm.  Then there's the latency between the time the Camera triggers an alarm and the time when you actually get to view the video.  So long that any perpetrator would have stolen your packages and be in the next town!  And then there's the unexplainable drops in connection.  Complete loss of video and audio.  Ring techs can't even figure out how to solve this problem.  And NO, it's not because my wifi speed is too slow or my wifi router is too far away.  I run at 300mbps and I'm only 50 feet from my  camera. And now I just discovered that my video recording will cease after a few days and RING wants me to pay a monthly fee for a feature that was clearly offer to me as part of my purchase.  It's a SCAM!  The product just simply does NOT perform as advertised.  I feel like I have wasted hundreds of my hard earned dollars on a security system that is more trouble than anything else.  It's actually a joke or better yet - a Ring SCAM!  Do not purchase any Ring product.  They simply do not work.<br /><br />Update: Christmas 2019 - When I needed this Ring Camera to work the most - it continues to fail.  What a waste of money!  As soon as I can find a better system, I'm ripping out all my Ring products and replacing them!  Do not buy any Ring product!","","","","","","","","Coffeethecat","","","","","","","B07GT9L6SQ","AmazonReview","","","",""
"page 1","2020/07/19 21:12:21","https://www.amazon.com/dp/B079ZLHQM9/ref=ods_dabb_B079ZLHQM9_productInfo","Sengled Smart LED Multicolor A19 Starter Kit, 60W Equivalent, 2 Smart Light Bulbs &amp; Hub, RGBW Color and Tunable White 2000-6500K, Works with Alexa &amp; Google Assistant","","","","","","","","","","","","","","","","B079ZLHQM9","AmazonReview","","","",""
