RECORD_ID,RECORD_DATETIME,RECORD_URL,RECORD_TITLE,RECORD_TEXT,DOMAIN_ROOT_URL,CITY_NAME,STATE_CODE,COUNTRY_CODE,GPS_COORDINATES,AUTHOR_ID,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_GENDER,AUTHOR_DESCRIPTION,_AUTHOR_PROFILE_URL,AUTHOR_AVATAR_URL,AUTHOR_FOLLOWERS,AUTHOR_VERIFIED_STATUS,META_TAGS,META_TAGS2,NET_PROMOTER_SCORE,OVERALL_STAR_RATING,OVERALL_SURVEY_SCORE,SOURCE_TYPE
"page1","","https://www.ebay.com/itm/303427616970","Logitech G640 Large Cloth Gaming Mousepad","","","","","","","","","","","","","","","","303427616970","EbayReview","","","",""
"page1-review0","Oct 16, 2019","","Great Product","Perfect size for range of mouse motion needed for gaming.","","","","","","","","tylaug_0","","","","","","","303427616970","EbayReview","","","",""
"page2","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mousepad/274327750282","Logitech G640 Large Cloth Gaming Mousepad","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mousepad","EbayReview","","","",""
"page4","","https://www.ebay.com/itm/Logitech-G640-Gaming-Mouse-Pad-Black/323041896748","Logitech - G640 Gaming Mouse Pad - Black","","","","","","","","","","","","","","","","Logitech-G640-Gaming-Mouse-Pad-Black","EbayReview","","","",""
"page4-review0","Oct 16, 2019","","Great Product","Perfect size for range of mouse motion needed for gaming.","","","","","","","","tylaug_0","","","","","","","Logitech-G640-Gaming-Mouse-Pad-Black","EbayReview","","","",""
"page4","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mouse-Pad-943000088/333599418096","Logitech G640 Large Cloth Gaming Mouse Pad #943000088","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mouse-Pad-943000088","EbayReview","","","",""
"page4-review0","Oct 16, 2019","","Great Product","Perfect size for range of mouse motion needed for gaming.","","","","","","","","tylaug_0","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mouse-Pad-943000088","EbayReview","","","",""
"page5","","https://www.ebay.com/itm/Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate/181758688827","Hotline Games - Logitech G502 Gaming Mouse Feet Replacement Teflon Mouse Skate","","","","","","","","","","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page5-review0","Jun 01, 2019","","Improved response with easy install, worth the higher price for the higher quality","Very easy to install, Very good quality. Improves mouse performance. Increased wear time compared to original (or thinner) pards.","","","","","","","","talk-computer","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page5-review1","May 24, 2019","","A must for a replacement!","Cheaper than original, better glide than original! Definitely worth the purchase if you are in the market for these replacement feet; comes with two sets, in case you need to replace them again; original is only one set for around $15, and doesn't have as much as a smooth glide as this one does.","","","","","","","","raficor0","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
