RECORD_ID,RECORD_DATETIME,RECORD_URL,RECORD_TITLE,RECORD_TEXT,DOMAIN_ROOT_URL,CITY_NAME,STATE_CODE,COUNTRY_CODE,GPS_COORDINATES,AUTHOR_ID,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_GENDER,AUTHOR_DESCRIPTION,_AUTHOR_PROFILE_URL,AUTHOR_AVATAR_URL,AUTHOR_FOLLOWERS,AUTHOR_VERIFIED_STATUS,META_TAGS,META_TAGS2,NET_PROMOTER_SCORE,OVERALL_STAR_RATING,OVERALL_SURVEY_SCORE,SOURCE_TYPE
page1,,https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mousepad/303427616970,Logitech G640 Large Cloth Gaming Mousepad,,,,,,,,,,,,,,,,3.03428E+11,EbayReview,,,,
page1-review0,16-Oct-19,,Great Product,Perfect size for range of mouse motion needed for gaming.,,,,,,,,tylaug_0,,,,,,,3.03428E+11,EbayReview,,,,
page2,,https://www.ebay.com/itm/Logitech-G640-Gaming-Mouse-Pad-Black/324149386420?_trkparms=aid%3D1110001%26algo%3DSPLICE.SIM%26ao%3D1%26asc%3D20160323102634%26meid%3De9fefa2e0dfc46ddb4765410c7e53541%26pid%3D100623%26rk%3D5%26rkt%3D5%26sd%3D303427616970%26itm%3D324149386420%26pmt%3D0%26noa%3D1%26pg%3D2047675&_trksid=p2047675.c100623.m-1,Logitech - G640 Gaming Mouse Pad - Black,,,,,,,,,,,,,,,,3.24149E+11,EbayReview,,,,
page2-review0,16-Oct-19,,Great Product,Perfect size for range of mouse motion needed for gaming.,,,,,,,,tylaug_0,,,,,,,3.24149E+11,EbayReview,,,,
page3,,https://www.ebay.com/itm/Logitech-G640-Black-Gaming-mouse-pad/383450129756?_trkparms=aid%3D1110001%26algo%3DSPLICE.SIM%26ao%3D1%26asc%3D20160323102634%26meid%3D87f832115e424855af55746e8345d3e9%26pid%3D100623%26rk%3D5%26rkt%3D5%26sd%3D324149386420%26itm%3D383450129756%26pmt%3D1%26noa%3D1%26pg%3D2047675&_trksid=p2047675.c100623.m-1,Logitech G640 Black Gaming mouse pad,,,,,,,,,,,,,,,,3.8345E+11,EbayReview,,,,
page3-review0,27-Mar-19,,The blue back,Bought this for my gaming son who likes everything either black or red.. or plain black. It arrived with a blue back that is visible... where it appeared to be plain black. Gamers are OCD about colour matching so I think it should be more clear that it’s not a plain black one.,,,,,,,,marymychild,,,,,,,3.8345E+11,EbayReview,,,,
page3-review1,21-Nov-18,,Quite big and very good quality. smooth and well made.,Exellent choice. its good for FPS. I strongly suggest it to you :,,,,,,,,qkdnf19-7,,,,,,,3.8345E+11,EbayReview,,,,
page3-review2,27-Dec-17,,Great product. My gamer son loves this,If it had seamed edging it would be even better.,,,,,,,,parradime_emporium,,,,,,,3.8345E+11,EbayReview,,,,
page4,,https://www.ebay.com/itm/2-Set-Hotline-Gaming-Mouse-Feet-Skates-for-Logitech-G502-HERO-LIGHTSPEED-Mouse/254622344648?_trkparms=aid%3D1110001%26algo%3DSPLICE.SIM%26ao%3D1%26asc%3D20160323102634%26meid%3De9fefa2e0dfc46ddb4765410c7e53541%26pid%3D100623%26rk%3D1%26rkt%3D5%26sd%3D303427616970%26itm%3D254622344648%26pmt%3D1%26noa%3D1%26pg%3D2047675&_trksid=p2047675.c100623.m-1,2 Set Hotline Gaming Mouse Feet Skates for Logitech G502 HERO LIGHTSPEED Mouse,,,,,,,,,,,,,,,,2.54622E+11,EbayReview,,,,
page3-review3,6-Jun-18,,Fast and easy!,If it had seamed edging it would be even better.,,,,,,,,jakesaunders1313,,,,,,,3.8345E+11,EbayReview,,,,
page4-review4,30-May-18,,Great product,If it had seamed edging it would be even better.,,,,,,,,ezyaz07,,,,,,,3.8345E+11,EbayReview,,,,
